SERVICE_WID,SERVICE,SUB_SERVICE,SERVICE_STATUS_CD,SRV_PLAN_WID,PLAN_NAME,SRV_PLAN_STATUS_CD,SERVICE_START_DATE,SERVICE_END_DATE,SERVICE_DURATION,SERVICE_START_MONTH,SERVICE_START_YEAR,SERVICE_END_MONTH,SERVICE_END_YEAR,CASE_WID,CASE_NUM,TOTAL_COST_AMT,OUTCOME_FEES_PAID_AMT,SERVICE_SUPPORT_COST_AMT,CLIENT_TYPE_WID,CLIENT_TYPE_CD,CLIENT_TYPE,BIRTH_DATE,GENDER,EDUCATION_LEVEL,BIRTH_DECATE,AGE,GROUP_AGE
2275057464.0,Skills Enhancement - STOC,FoodSafe,Closed,813205331.0,Employment Services,Closed,2019-07-30,2019-08-16,17.0,7,2019,8.0,2019.0,1165594788.0,1-64729785436,2473.65,0.0,73.5,15.0,NEO OTHER ACTIVE,BCEA NEO Other and EI Active,1995-11-07,Man/Boy,College,1990,28,20 - 29
2842399694.0,Client Needs Assessment,Client Needs Assessment,Closed,826206964.0,Employment Services,Closed,2019-10-02,2020-03-09,159.0,10,2019,3.0,2020.0,1132936162.0,1-63898119452,1662.5,,,18.0,GENERAL,General w/o a Disability,1993-01-06,Man/Boy,College,1990,31,30 - 39
8957247694.0,Skills Enhancement - Training Services,Occupational Skills Training,Closed,826207029.0,Employment Services,Closed,2020-11-30,2021-08-06,249.0,11,2020,8.0,2021.0,1132936918.0,1-63899285584,9417.09,0.0,8603.34,6.0,EI ACTIVE,EI Active,1989-12-09,Woman/Girl,College,1980,34,30 - 39
8145309264.0,Skills Enhancement - ESS Workshops,Essential Work Skills Workshop,Closed,867377119.0,Employment Services,Closed,2020-11-16,2020-11-17,1.0,11,2020,11.0,2020.0,1234083540.0,1-51525290716,1224.09,0.0,140.0,13.0,NEO PPMB ACTIVE,BCEA NEO PPMB and EI Active,1999-05-18,Man/Boy,Apprenticeship,1990,24,20 - 29
2840036264.0,Client Needs Assessment,Client Needs Assessment,Closed,826574343.0,Employment Services,Closed,2019-09-30,2019-09-30,0.0,9,2019,9.0,2019.0,1138810790.0,1-63880337247,2625.0,,,18.0,GENERAL,General w/o a Disability,2003-06-14,Woman/Girl,Elementary,2000,20,20 - 29
8888530694.0,Job Search,Job Search,Closed,866900626.0,Employment Services,Closed,2021-02-01,2021-04-30,88.0,2,2021,4.0,2021.0,1230724912.0,1-51438075764,1907.5,,,15.0,NEO OTHER ACTIVE,BCEA NEO Other and EI Active,1998-03-10,Man/Boy,College,1990,25,20 - 29
8616052994.0,Job Sustainment,Job Sustainment,Closed,866940054.0,Employment Services,Closed,2021-05-10,2022-05-08,363.0,5,2021,5.0,2022.0,1202166796.0,1-52902613840,2978.05,1750.0,256.59,2.0,BCEA NEO PWD,BCEA NEO PWD,1994-09-11,Man/Boy,Apprenticeship,1990,29,20 - 29
8231618994.0,Client Needs Assessment,Client Needs Assessment,Closed,866849600.0,Employment Services,Closed,2021-01-06,2021-02-07,32.0,1,2021,2.0,2021.0,1203612814.0,1-52483060135,508.05,,,2.0,BCEA NEO PWD,BCEA NEO PWD,1994-09-29,Man/Boy,College,1990,29,20 - 29
8786460264.0,Self-Employment,Business Launch & Implementation,Closed,866849605.0,Employment Services,Closed,2021-06-06,2022-02-26,265.0,6,2021,2.0,2022.0,1203612817.0,1-52483464385,14962.5,,,16.0,NEO OTHER REACHBACK,BCEA NEO Other and EI Reachback,1965-07-27,Woman/Girl,Apprenticeship,1960,58,50 - 59
8645565694.0,Job Search,Job Search,Closed,866849630.0,Employment Services,Closed,2021-06-03,2022-03-04,274.0,6,2021,3.0,2022.0,1203612206.0,1-52483178723,,,,12.0,NEO PWD REACHBACK,BCEA NEO PWD and EI Reachback,1980-02-27,Man/Boy,Elementary,1980,43,40 - 49
8221917264.0,Job Search,Job Search,Closed,819191886.0,Employment Services,Closed,2020-12-07,2021-06-07,182.0,12,2020,6.0,2021.0,1128443908.0,1-721144-104985,350.0,,,11.0,NEO PWD ACTIVE,BCEA NEO PWD and EI Active,1959-03-09,Man/Boy,Elementary,1950,64,60+
8888447994.0,Client Needs Assessment,Client Needs Assessment,Closed,866734233.0,Employment Services,Closed,2021-02-01,2021-02-01,0.0,2,2021,2.0,2021.0,1899448206.0,1-52047152852,4156.25,,,4.0,BCEA NEO OTHER,BCEA NEO Other,1982-02-20,Man/Boy,College,1980,41,40 - 49
7865463464.0,Skills Enhancement - ESS Workshops,Prepare for Employment Workshop,Closed,866705103.0,Employment Services,Open,2021-07-12,2022-02-24,227.0,7,2021,2.0,2022.0,1128441122.0,1-721150-66343,5490.54,,,10.0,EO REACHBACK,BCEA EO and EI Reachback,2003-09-10,Man/Boy,Unknown,2000,20,20 - 29
2497163464.0,Job Sustainment,Job Sustainment,Closed,813346305.0,Employment Services,Closed,2020-01-06,2021-01-06,366.0,1,2020,1.0,2021.0,1163363840.0,1-64737321606,2450.0,2450.0,0.0,11.0,NEO PWD ACTIVE,BCEA NEO PWD and EI Active,2000-03-22,Woman/Girl,Elementary,2000,23,20 - 29
2288135464.0,Client Needs Assessment,Client Needs Assessment,Closed,810197642.0,Employment Services,Closed,2019-07-22,2019-08-06,15.0,7,2019,8.0,2019.0,1160550477.0,1-64671176535,5241.14,,,12.0,NEO PWD REACHBACK,BCEA NEO PWD and EI Reachback,2005-10-22,Man/Boy,Secondary,2000,18,19-
2899652694.0,Specialized Assessments,Medical Assessment Report,Closed,813544608.0,Employment Services,Closed,2019-07-24,2020-03-19,239.0,7,2019,3.0,2020.0,1163963460.0,1-64761710859,1640.63,0.0,65.63,17.0,GENERAL PWD,General with a Disability,2004-01-16,Man/Boy,Elementary,2000,20,20 - 29
2869617264.0,Skills Enhancement - STOC,Other,Closed,813543193.0,Employment Services,Closed,2019-10-24,2019-10-24,0.0,10,2019,10.0,2019.0,1163960960.0,1-64760910580,1815.49,,,10.0,EO REACHBACK,BCEA EO and EI Reachback,2003-07-06,Woman/Girl,Unknown,2000,20,20 - 29
8829621464.0,Job Sustainment,Job Sustainment,Closed,866917874.0,Employment Services,Closed,2020-12-22,2021-12-21,364.0,12,2020,12.0,2021.0,1209374565.0,1-51065596551,437.5,437.5,0.0,1.0,BCEA EO,BCEA EO,2003-04-21,Man/Boy,College,2000,20,20 - 29
2821425994.0,Skills Enhancement - STOC,Emergency First Aid,Closed,822047297.0,Employment Services,Closed,2019-09-19,2019-09-19,0.0,9,2019,9.0,2019.0,1148761337.0,1-63997408580,516.25,0.0,96.25,14.0,NEO PPMB REACHBACK,BCEA NEO PPMB and EI Reachback,2005-03-27,Woman/Girl,College,2000,18,19-
8756839464.0,Self-Serve Services,Self-Serve Services,Closed,866458267.0,Self-Serve,Closed,2021-04-09,2021-04-27,18.0,4,2021,4.0,2021.0,1895105260.0,1-58584244789,,,,4.0,BCEA NEO OTHER,BCEA NEO Other,1989-05-30,Woman/Girl,Unknown,1980,34,30 - 39
8818112464.0,External Referrals,Referral to Other Community Agencies,Closed,866773082.0,Employment Services,Closed,2021-01-22,2021-06-24,153.0,1,2021,6.0,2021.0,1200431218.0,1-52348011875,,,,15.0,NEO OTHER ACTIVE,BCEA NEO Other and EI Active,1977-11-29,Man/Boy,University,1970,46,40 - 49
8893606464.0,Client Needs Assessment,Client Needs Assessment,Closed,866772732.0,Employment Services,Closed,2021-01-20,2021-01-28,8.0,1,2021,1.0,2021.0,1200508619.0,1-52363037755,5518.59,,,14.0,NEO PPMB REACHBACK,BCEA NEO PPMB and EI Reachback,1975-09-16,Man/Boy,Apprenticeship,1970,48,40 - 49
8597146994.0,Job Search,Job Search,Closed,865918345.0,Employment Services,Open,2021-06-16,2022-08-01,411.0,6,2021,8.0,2022.0,1156879362.0,1-64429818708,437.5,,,5.0,EI ACTIVE,EI Active,1982-09-11,Woman/Girl,Apprenticeship,1980,41,40 - 49
7478421694.0,Job Search,Job Search,Closed,863226915.0,Employment Services,Open,2022-12-22,2023-01-04,13.0,12,2022,1.0,2023.0,1858284810.0,1-49695572304,875.0,,,2.0,BCEA NEO PWD,BCEA NEO PWD,1998-11-19,Man/Boy,Unknown,1990,25,20 - 29
8695806994.0,Client Needs Assessment,Client Needs Assessment,Closed,866376391.0,Employment Services,Closed,2021-04-29,2021-06-01,33.0,4,2021,6.0,2021.0,1894501697.0,1-58374982578,19463.48,0.0,986.56,10.0,EO REACHBACK,BCEA EO and EI Reachback,1991-06-17,Woman/Girl,Elementary,1990,32,30 - 39
8622027694.0,Job Search,Job Search,Closed,866376391.0,Employment Services,Closed,2021-05-07,2023-02-15,649.0,5,2021,2.0,2023.0,1894501697.0,1-58374982578,19463.48,,,14.0,NEO PPMB REACHBACK,BCEA NEO PPMB and EI Reachback,2004-03-13,Man/Boy,Secondary,2000,19,19-
8695005264.0,Skills Enhancement - ESS Workshops,Essential Work Skills Workshop,Closed,866370322.0,Employment Services,Closed,2021-05-18,2021-05-20,2.0,5,2021,5.0,2021.0,1894325547.0,1-58358361424,,,,10.0,EO REACHBACK,BCEA EO and EI Reachback,1991-08-29,Man/Boy,College,1990,32,30 - 39
8956670264.0,Skills Enhancement - Training Services,Occupational Skills Training,Closed,867497622.0,Employment Services,Closed,2020-09-21,2021-05-28,249.0,9,2020,5.0,2021.0,1236290366.0,1-51203750425,12035.63,0.0,9498.13,6.0,EI ACTIVE,EI Active,1997-11-06,Woman/Girl,Apprenticeship,1990,26,20 - 29
7053252994.0,Skills Enhancement - ESS Workshops,Prepare for Employment Workshop,In Progress,863639649.0,Employment Services,Open,2023-04-04,2023-04-30,26.0,4,2023,4.0,2023.0,1841918081.0,1-41714778142,,,,16.0,NEO OTHER REACHBACK,BCEA NEO Other and EI Reachback,1983-10-21,Woman/Girl,University,1980,40,40 - 49
7053381464.0,Skills Enhancement - Training Services,Occupational Skills Training,Waiting To Start,863967241.0,Employment Services,Open,2023-04-20,2023-07-27,98.0,4,2023,7.0,2023.0,1128583101.0,1-721168-721627,1006.25,,,9.0,EO ACTIVE,BCEA EO and EI Active,2004-05-03,Woman/Girl,Secondary,2000,19,19-
2412417464.0,Job Search,Job Search,Closed,872199003.0,Employment Services,Closed,2020-03-25,2020-09-06,165.0,3,2020,9.0,2020.0,1272705164.0,1-59130540727,2187.5,,,10.0,EO REACHBACK,BCEA EO and EI Reachback,1998-07-30,Man/Boy,Secondary,1990,25,20 - 29
2454465464.0,Skills Enhancement - ESS Workshops,Find Jobs or Work Experience Workshop,Closed,872596575.0,Employment Services,Closed,2020-04-22,2021-05-21,394.0,4,2020,5.0,2021.0,1277783837.0,1-59284731167,,,,4.0,BCEA NEO OTHER,BCEA NEO Other,1973-04-10,Woman/Girl,College,1970,50,50 - 59
7061816264.0,Skills Enhancement - ESS Workshops,Find Jobs or Work Experience Workshop,Waiting To Start,863520541.0,Employment Services,Open,2023-04-14,2023-04-20,6.0,4,2023,4.0,2023.0,1841030611.0,1-41687792324,,,,8.0,EI REACHBACK,EI Reachback,1994-12-14,Woman/Girl,College,1990,29,20 - 29
7531431464.0,Self-Serve Services,Self-Serve Services,Set Up,863116184.0,Self-Serve,Open,2022-11-24,2023-11-24,365.0,11,2022,11.0,2023.0,1859624057.0,1-49160165946,,,,18.0,GENERAL,General w/o a Disability,2002-08-22,Woman/Girl,Unknown,2000,21,20 - 29
2370224264.0,Job Search,Job Search,Closed,873336128.0,Employment Services,Closed,2020-06-01,2021-12-08,555.0,6,2020,12.0,2021.0,1256349374.0,1-59402337492,8887.66,,,6.0,EI ACTIVE,EI Active,2003-11-11,Man/Boy,Secondary,2000,20,20 - 29
2373843994.0,Client Needs Assessment,Client Needs Assessment,Closed,878681883.0,Employment Services,Closed,2020-04-21,2020-04-30,9.0,4,2020,4.0,2020.0,1274673833.0,1-59862880270,1384.6,,,4.0,BCEA NEO OTHER,BCEA NEO Other,1987-03-30,Man/Boy,Secondary,1980,36,30 - 39
2432502994.0,Job Search,Job Search,Closed,876472535.0,Employment Services,Closed,2020-04-29,2020-06-16,48.0,4,2020,6.0,2020.0,1266102798.0,1-59664216232,1750.0,,,5.0,EI ACTIVE,EI Active,2005-12-18,Woman/Girl,Elementary,2000,18,19-
2002908264.0,Job Search,Job Search,Closed,876345954.0,Employment Services,Closed,2020-05-19,2021-02-26,283.0,5,2020,2.0,2021.0,1266416649.0,1-59654960349,6626.08,0.0,914.38,17.0,GENERAL PWD,General with a Disability,1988-02-21,Man/Boy,Apprenticeship,1980,35,30 - 39
2404277994.0,Job Search,Job Search,Closed,875622598.0,Employment Services,Closed,2020-02-23,2021-02-10,353.0,2,2020,2.0,2021.0,1128493676.0,1-721150-845123,5396.13,,,2.0,BCEA NEO PWD,BCEA NEO PWD,2005-11-15,Man/Boy,Elementary,2000,18,19-
2614966994.0,Skills Enhancement - ESS Workshops,Find Jobs or Work Experience Workshop,Closed,822349571.0,Employment Services,Closed,2019-12-18,2019-12-19,1.0,12,2019,12.0,2019.0,1128539822.0,1-721151-08765,624.08,,,3.0,BCEA NEO PPMB,BCEA NEO PPMB,1985-04-13,Woman/Girl,Unknown,1980,38,30 - 39
2711586994.0,Skills Enhancement - STOC,Basic Computer Training,Closed,822350389.0,Employment Services,Open,2019-11-04,2019-11-08,4.0,11,2019,11.0,2019.0,1148957739.0,1-64006537183,1867.69,0.0,525.0,17.0,GENERAL PWD,General with a Disability,2004-02-17,Man/Boy,Elementary,2000,19,19-
2701640694.0,Client Needs Assessment,Client Needs Assessment,Closed,881972469.0,Employment Services,Closed,2019-12-04,2021-03-10,462.0,12,2019,3.0,2021.0,1298535908.0,1-63045685211,,,,11.0,NEO PWD ACTIVE,BCEA NEO PWD and EI Active,2001-03-25,Man/Boy,Apprenticeship,2000,22,20 - 29
2953571264.0,Job Search,Job Search,Closed,811750887.0,Employment Services,Closed,2019-04-11,2019-12-17,250.0,4,2019,12.0,2019.0,1120978500.0,1-65588520089,,,,11.0,NEO PWD ACTIVE,BCEA NEO PWD and EI Active,1984-04-30,Man/Boy,Apprenticeship,1980,39,30 - 39
2707792994.0,Client Needs Assessment,Client Needs Assessment,Closed,881243840.0,Employment Services,Closed,2019-12-06,2020-03-31,116.0,12,2019,3.0,2020.0,1103325868.0,1-63317856233,2303.7,,,9.0,EO ACTIVE,BCEA EO and EI Active,1986-04-25,Woman/Girl,Secondary,1980,37,30 - 39
2610021264.0,Job Sustainment,Job Sustainment,Closed,882796742.0,Employment Services,Closed,2019-12-27,2021-03-18,447.0,12,2019,3.0,2021.0,1293826730.0,1-60175701505,2870.0,2625.0,245.0,11.0,NEO PWD ACTIVE,BCEA NEO PWD and EI Active,1984-04-05,Man/Boy,University,1980,39,30 - 39
8739680994.0,Job Sustainment,Job Sustainment,Closed,882232554.0,Employment Services,Closed,2021-04-16,2022-11-10,573.0,4,2021,11.0,2022.0,1294344780.0,1-60189973772,2625.0,2625.0,0.0,9.0,EO ACTIVE,BCEA EO and EI Active,1983-07-14,Man/Boy,College,1980,40,40 - 49
2620934994.0,Job Search,Job Search,Closed,882989064.0,Employment Services,Open,2019-12-24,2021-05-03,496.0,12,2019,5.0,2021.0,1294920292.0,1-60931024396,,,,18.0,GENERAL,General w/o a Disability,1986-03-03,Woman/Girl,Apprenticeship,1980,37,30 - 39
8987422464.0,Job Search,Job Search,Closed,882151783.0,Employment Services,Open,2020-09-02,2022-10-31,789.0,9,2020,10.0,2022.0,1294704091.0,1-60113307601,24389.81,,,10.0,EO REACHBACK,BCEA EO and EI Reachback,1991-05-24,Non-Binary,University,1990,32,30 - 39
2610070464.0,Client Needs Assessment,Client Needs Assessment,Closed,824065625.0,Employment Services,Closed,2019-12-18,2019-12-20,2.0,12,2019,12.0,2019.0,1102845018.0,1-63513988662,,,,4.0,BCEA NEO OTHER,BCEA NEO Other,2005-11-06,Woman/Girl,Secondary,2000,18,19-
7083088464.0,Self-Serve Services,Self-Serve Services,Set Up,863515927.0,Self-Serve,Open,2023-03-22,2024-03-22,366.0,3,2023,3.0,2024.0,1841561621.0,1-41736471624,397.38,0.0,397.38,1.0,BCEA EO,BCEA EO,1999-12-14,Woman/Girl,Elementary,1990,24,20 - 29
8564090464.0,Skills Enhancement - Training Services,Project Based Labour Market Training,Cancelled,865191406.0,Employment Services,Open,2021-07-19,2021-07-19,0.0,7,2021,7.0,2021.0,1812950956.0,1-57771309568,14718.33,,,18.0,GENERAL,General w/o a Disability,1974-11-10,Man/Boy,Apprenticeship,1970,49,40 - 49
8491094464.0,Job Search,Job Search,Closed,865194403.0,Employment Services,Closed,2021-07-14,2022-01-05,175.0,7,2021,1.0,2022.0,1812189589.0,1-57766640404,673.75,0.0,673.75,8.0,EI REACHBACK,EI Reachback,2005-04-16,Man/Boy,Elementary,2000,18,19-
2173629994.0,Skills Enhancement - ESS Workshops,Find Jobs or Work Experience Workshop,Closed,817011998.0,Employment Services,Closed,2019-06-04,2019-11-19,168.0,6,2019,11.0,2019.0,1178944598.0,1-64994638022,2625.0,,,4.0,BCEA NEO OTHER,BCEA NEO Other,1963-04-12,Man/Boy,Secondary,1960,60,50 - 59
2117631994.0,Client Needs Assessment,Client Needs Assessment,Closed,817119104.0,Employment Services,Closed,2019-05-18,2019-05-18,0.0,5,2019,5.0,2019.0,1179960413.0,1-65082420245,1674.71,,,3.0,BCEA NEO PPMB,BCEA NEO PPMB,1977-01-24,Woman/Girl,Apprenticeship,1970,47,40 - 49
8615502994.0,Skills Enhancement - STOC,Other,Closed,866439621.0,Employment Services,Closed,2021-05-07,2021-05-08,1.0,5,2021,5.0,2021.0,1895665921.0,1-58533684230,109.38,0.0,109.38,16.0,NEO OTHER REACHBACK,BCEA NEO Other and EI Reachback,2003-01-27,Woman/Girl,Apprenticeship,2000,21,20 - 29
8740192464.0,Self-Serve Services,Self-Serve Services,Cancelled,866435544.0,Self-Serve,Closed,2021-04-15,2022-03-29,348.0,4,2021,3.0,2022.0,1895542720.0,1-58491032395,,,,11.0,NEO PWD ACTIVE,BCEA NEO PWD and EI Active,1983-04-28,Man/Boy,Apprenticeship,1980,40,40 - 49
2609344994.0,Skills Enhancement - ESS Workshops,Prepare for Employment Workshop,Closed,886339248.0,Employment Services,Closed,2020-01-24,2020-02-28,35.0,1,2020,2.0,2020.0,1229610083.0,1-60699555756,2362.5,,,1.0,BCEA EO,BCEA EO,1998-05-19,Man/Boy,Unknown,1990,25,20 - 29
8857114464.0,Skills Enhancement - ESS Workshops,Find Jobs or Work Experience Workshop,Closed,886464499.0,Employment Services,Closed,2021-02-16,2021-09-08,204.0,2,2021,9.0,2021.0,1229911274.0,1-60734324491,1885.63,,,11.0,NEO PWD ACTIVE,BCEA NEO PWD and EI Active,1986-08-22,Man/Boy,University,1980,37,30 - 39
8744492464.0,Skills Enhancement - Competency Based Learning,Essential Work Skills Training,Cancelled,866573873.0,Employment Services,Closed,2021-04-15,2021-04-15,0.0,4,2021,4.0,2021.0,1898552912.0,1-58865330867,2826.47,,,11.0,NEO PWD ACTIVE,BCEA NEO PWD and EI Active,1995-04-01,Woman/Girl,College,1990,28,20 - 29
8670645694.0,Job Sustainment,Job Sustainment,Closed,874163056.0,Employment Services,Closed,2021-05-17,2021-12-23,220.0,5,2021,12.0,2021.0,1260044710.0,1-59551209665,607.68,525.0,82.68,3.0,BCEA NEO PPMB,BCEA NEO PPMB,1964-12-15,Man/Boy,Secondary,1960,59,50 - 59
2744917994.0,Skills Enhancement - ESS Workshops,Basic Life Skills Workshop,Closed,824253360.0,Employment Services,Closed,2019-11-25,2020-08-26,275.0,11,2019,8.0,2020.0,1130311703.0,1-63674123809,109.38,0.0,21.88,12.0,NEO PWD REACHBACK,BCEA NEO PWD and EI Reachback,2003-02-18,Non-Binary,Secondary,2000,20,20 - 29
2515948464.0,External Referrals,Referral to Other Community Agencies,Closed,885830027.0,Employment Services,Closed,2020-03-05,2020-07-31,148.0,3,2020,7.0,2020.0,1222846678.0,1-60670749549,4.38,,,3.0,BCEA NEO PPMB,BCEA NEO PPMB,1999-11-05,Woman/Girl,Secondary,1990,24,20 - 29
2931741264.0,Skills Enhancement - ESS Workshops,Prepare for Employment Workshop,Closed,812416719.0,Employment Services,Closed,2019-05-13,2019-05-17,4.0,5,2019,5.0,2019.0,1187268753.0,1-65311009306,,,,3.0,BCEA NEO PPMB,BCEA NEO PPMB,2001-12-11,Non-Binary,Apprenticeship,2000,22,20 - 29
2515125994.0,Client Needs Assessment,Client Needs Assessment,Closed,884249349.0,Employment Services,Closed,2020-02-06,2020-04-24,78.0,2,2020,4.0,2020.0,1226666425.0,1-60574690541,3757.78,,,14.0,NEO PPMB REACHBACK,BCEA NEO PPMB and EI Reachback,1999-06-05,Woman/Girl,Unknown,1990,24,20 - 29
2065738994.0,Job Search,Job Search,Closed,867534962.0,Employment Services,Closed,2020-07-24,2021-07-11,352.0,7,2020,7.0,2021.0,1237403657.0,1-51269333122,1750.0,,,2.0,BCEA NEO PWD,BCEA NEO PWD,2004-06-30,Man/Boy,Elementary,2000,19,19-
2093103694.0,Specialized Assessments,Medical Assessment Report,Closed,820283268.0,Employment Services,Closed,2020-07-10,2020-07-10,0.0,7,2020,7.0,2020.0,1104936376.0,1-63468678913,1099.0,0.0,136.5,4.0,BCEA NEO OTHER,BCEA NEO Other,1975-02-01,Woman/Girl,College,1970,49,40 - 49
2301462694.0,Job Sustainment,Job Sustainment,Closed,888027692.0,Employment Services,Closed,2020-06-08,2021-06-07,364.0,6,2020,6.0,2021.0,1218739133.0,1-60236761431,4637.5,4637.5,0.0,10.0,EO REACHBACK,BCEA EO and EI Reachback,1987-11-05,Woman/Girl,Apprenticeship,1980,36,30 - 39
2334138464.0,External Referrals,Referral for Assistive Technology Services,Closed,810583414.0,Employment Services,Closed,2020-06-19,2020-07-31,42.0,6,2020,7.0,2020.0,1152924113.0,1-64597898455,2362.5,,,2.0,BCEA NEO PWD,BCEA NEO PWD,2004-07-04,Woman/Girl,College,2000,19,19-
